entry_time,exit_time,symbol,side,system,result,volume,entry_price,exit_price,pnl,position_id,entry_deal,entry_order,exit_deals,magic,comment,duration_minutes
2026-05-15 09:35:59,2026-05-15 09:37:05,XAUUSD,SELL,FLOW_EXP,WIN,0.01,4575.26,4570.81,4.45,8647748780,8257015108,8647748780,8257041806,202404,AQ_FLOW_EXP_FLOW,1.1
2026-05-15 10:20:05,2026-05-15 10:20:32,XAUUSD,SELL,FLOW_EXP,LOSS,0.01,4586.48,4588.68,-2.2,8648512835,8257856187,8648512835,8257868773,202404,AQ_FLOW_EXP_FLOW,0.45
2026-05-15 10:25:07,2026-05-15 10:31:57,XAUUSD,SELL,FLOW_EXP,WIN,0.01,4583.09,4578.77,4.32,8648608182,8257964590,8648608182,8258096050,202404,AQ_FLOW_EXP_FLOW,6.83
2026-05-15 10:35:04,2026-05-15 10:35:18,XAUUSD,SELL,FLOW_EXP,LOSS,0.01,4578.93,4581.58,-2.65,8648770690,8258148851,8648770690,8258154288,202404,AQ_FLOW_EXP_FLOW,0.23
2026-05-15 10:45:03,2026-05-15 10:50:03,XAUUSD,SELL,FLOW_EXP,WIN,0.01,4577.04,4573.31,3.73,8648933438,8258328920,8648933438,8258405199,202404,AQ_FLOW_EXP_FLOW,5.0
2026-05-15 10:50:08,2026-05-15 11:01:00,XAUUSD,SELL,FLOW_EXP,WIN,0.01,4573.29,4567.85,5.44,8649005885,8258408765,8649005885,8258609636,202404,AQ_FLOW_EXP_MOM_,10.87
2026-05-15 11:25:05,2026-05-15 11:30:29,XAUUSD,SELL,FLOW_EXP,WIN,0.01,4559.19,4553.91,5.28,8649691642,8259185796,8649691642,8259292025,202404,AQ_FLOW_EXP_FLOW,5.4
2026-05-15 12:40:07,2026-05-15 12:48:19,XAUUSD,SELL,FLOW_EXP,WIN,0.01,4545.46,4539.66,5.8,8651172725,8260844307,8651172725,8261012520,202404,AQ_FLOW_EXP_FLOW,8.2
2026-05-15 12:50:16,2026-05-15 12:51:02,XAUUSD,SELL,FLOW_EXP,LOSS,0.01,4533.84,4538.72,-4.88,8651402445,8261101498,8651402445,8261132797,202404,AQ_FLOW_EXP_FLOW,0.77
2026-05-15 14:53:14,2026-05-15 14:55:42,XAUUSD,SELL,FLOW_EXP,WIN,0.01,4555.29,4550.31,4.98,8653721610,8263674436,8653721610,8263723948,202404,AQ_FLOW_EXP_FLOW,2.47
2026-05-15 15:15:06,2026-05-15 15:15:35,XAUUSD,SELL,FLOW_EXP,LOSS,0.01,4546.72,4549.77,-3.05,8654136917,8264138732,8654136917,8264153773,202404,AQ_FLOW_EXP_FLOW,0.48
2026-05-15 15:20:05,2026-05-15 15:20:08,XAUUSD,SELL,FLOW_EXP,LOSS,0.01,4549.5,4551.89,-2.39,8654236378,8264248213,8654236378,8264249997,202404,AQ_FLOW_EXP_FLOW,0.05
2026-05-15 15:25:08,2026-05-15 15:26:21,XAUUSD,SELL,FLOW_EXP,LOSS,0.01,4553.31,4557.15,-3.84,8654358339,8264387464,8654358339,8264412525,202404,AQ_FLOW_EXP_FLOW,1.22
2026-05-15 15:35:12,2026-05-15 15:35:28,XAUUSD,SELL,FLOW_EXP,LOSS,0.01,4548.74,4551.2,-2.46,8654549892,8264598699,8654549892,8264604635,202404,AQ_FLOW_EXP_REEN,0.27
2026-05-15 15:40:04,2026-05-15 15:51:40,XAUUSD,SELL,FLOW_EXP,LOSS,0.01,4549.15,4552.58,-3.43,8654645164,8264704680,8654645164,8264974229,202404,AQ_FLOW_EXP_MOM_,11.6
2026-05-15 15:55:08,2026-05-15 15:59:33,XAUUSD,SELL,FLOW_EXP,WIN,0.01,4553.92,4548.07,5.85,8654974085,8265065068,8654974085,8265151253,202404,AQ_FLOW_EXP_FLOW,4.42
2026-05-15 16:00:10,2026-05-15 16:00:35,XAUUSD,SELL,FLOW_EXP,WIN,0.01,4547.02,4541.97,5.05,8655073359,8265176361,8655073359,8265197930,202404,AQ_FLOW_EXP_FLOW,0.42
2026-05-15 16:35:10,2026-05-15 16:37:10,XAUUSD,SELL,FLOW_EXP,WIN,0.01,4541.73,4536.22,5.51,8655935441,8266150983,8655935441,8266223711,202404,AQ_FLOW_EXP_FLOW,2.0
